name,parent,state,country
ThyssenKrupp Marine Systems,ThyssenKrupp,4,US
Volocopter,Germany Companies,3,US
Wingcopter,Germany Companies,3,US
ZF Aviation Technology,Germany Companies,3,US
ZF Luftfahrttechnik (ZFL),Germany Companies,3,US
Hong Kong Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Horizons Ventures,Hong Kong Companies,3,US
OceanAlpha,Hong Kong Companies,3,US
SparkleTech,Hong Kong Companies,3,US
India Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Adani Group,India Companies,3,US
Aeron Systems,India Companies,3,US
Agnikul Cosmos,India Companies,3,US
Ashok Leyland,India Companies,3,US
Bellatrix Aerospace,India Companies,3,US
BEML,India Companies,3,US
Bharat Dynamics Limited,India Companies,3,US
Bharat Electronics Limited,India Companies,3,US
Bharti Global,India Companies,3,US
OneWeb Satellites,Bharti Global,4,US
BHEL,India Companies,3,US
Cochin Shipyard Limited (CSL),India Companies,3,US
Cyient,India Companies,3,US
Dynamatic Technologies Limited,India Companies,3,US
Garden Reach Shipbuilders & Engineers (GRSE),India Companies,3,US
Godrej Aerospace,India Companies,3,US
Hinduja,India Companies,3,US
Hindustan Aeronautic Limited (HAL),India Companies,3,US
Hindustan Shipyard Ltd (HSL),India Companies,3,US
Indocopters,India Companies,3,US
Kalyani,India Companies,3,US
Larsen & Toubro (L&T),India Companies,3,US
L&T MBDA Missile Systems Limited (LTMMSL),Larsen & Toubro (L&T),4,US
Larsen & Tourbro Limited (L&T),India Companies,3,US
Lohia,India Companies,3,US
Mahindra Group,India Companies,3,US
Mazagon Dock Shipbuilders Limited (MDL),India Companies,3,US
Megha Engineering and Infrastructures Limited (MEIL),India Companies,3,US
Mishra Dhatu Nigam (Midhani),India Companies,3,US
MKU Ltd.,India Companies,3,US
NoPo Nanotechnologies Ltd.,India Companies,3,US
Pawan Hans Limited,India Companies,3,US
Persistent Systems,India Companies,3,US
"PT Dirgantara Indonesia (PTDI), Indian Aerospace",India Companies,3,US
Reliance India,India Companies,3,US
Reliance Naval and Engineering,Reliance India,4,US
Thales Reliance Defence Systems,Reliance India,4,US
Skyroot Aerospace,India Companies,3,US
Tata,India Companies,3,US
Walchandnagar Industries,India Companies,3,US
Indonesia Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Garuda Indonesia,Indonesia Companies,3,US
GMF Aeroasia,Indonesia Companies,3,US
Indonesian Aerospace,Indonesia Companies,3,US
PT Askrindo,Indonesia Companies,3,US
PT Dirgantara Indonesia (PTDI),Indonesia Companies,3,US
PT Len Industri,Indonesia Companies,3,US
PT Lundin,Indonesia Companies,3,US
PT PAL,Indonesia Companies,3,US
PT Pasifik Satelit Nusantara,Indonesia Companies,3,US
PT Pindad,Indonesia Companies,3,US
PT Smart Cakrawala Aviation,Indonesia Companies,3,US
Iran Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Aerospace Industries Organization,Iran Companies,3,US
Defense Industries Organization,Iran Companies,3,US
Iran Aircraft Manufacturing Industrial Company (HESA),Iran Companies,3,US
Iran Aviation Industries Organization (IAIO),Iran Companies,3,US
Qods Aviation,Iran Companies,3,US
Sanam Industrial Group,Iran Companies,3,US
Shahed Aviation Industries,Iran Companies,3,US
Unidentified Iranian Manufacturer,Iran Companies,3,US
Ireland Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Accenture,Ireland Companies,3,US
Lease Corporation International (LCI),Ireland Companies,3,US
Waypoint Leasing,Ireland Companies,3,US
Israel Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Aeronautics Group,Israel Companies,3,US
Airobotics,Israel Companies,3,US
APG Aero Systems,Israel Companies,3,US
BIRD Aerosystems,Israel Companies,3,US
Bluebird Aero Systems,Israel Companies,3,US
Cognata,Israel Companies,3,US
Controp,Israel Companies,3,US
DSIT,Israel Companies,3,US
DSraider,Israel Companies,3,US
Elbit,Israel Companies,3,US
AEL Sistemas,Elbit,4,US
Elbit Aerospace Division,Elbit,4,US
Elbit Elisra (EMS & SIGINT),Elbit,4,US
Elbit ISR & Target Acquisition,Elbit,4,US
Elbit Land and C4,Elbit,4,US
Elbit Systems of America,Elbit,4,US
Harris Night Vision and Communications,Elbit Systems of America,5,US
Elbit UK,Elbit,4,US
Israel Military Industries (IMI),Elbit,4,US
Epsilor,Israel Companies,3,US
Eviation,Israel Companies,3,US
General Robotics,Israel Companies,3,US
Get SAT,Israel Companies,3,US
Iron Drone,Israel Companies,3,US
Israel Aerospace Industries (IAI),Israel Companies,3,US
ELTA Systems,Israel Aerospace Industries (IAI),4,US
ELTA North America,ELTA Systems,5,US
