name,parent
Republic of Korea Navy (RoKN),Ministry of National Defense (MND)
Republic of Korea Marine Corps (RoKMC),Republic of Korea Navy (RoKN)
Ministry of Science and ICT (MIST),Republic of Korea (RoK) / South Korea
"Ministry of Trade, Industry and Energy (MOTIE)",Republic of Korea (RoK) / South Korea
Singapore,Asia
Ministry of Defense,Singapore
Defence Science and Technology Agency (DSTA),Ministry of Defense
Singapore Armed Forces (SAF),Ministry of Defense
Singapore Air Force,Singapore Armed Forces (SAF)
Singapore Army,Singapore Armed Forces (SAF)
Singapore Navy,Singapore Armed Forces (SAF)
Singapore Companies,Singapore
Sri Lanka,Asia
Sri Lanka Air Force,Sri Lanka
Sri Lanka Navy,Sri Lanka
Taiwan,Asia
Ministry of the Interior,Taiwan
Taiwanese Ministry of National Defense (MND),Taiwan
Materiel Production Center (MPC),Taiwanese Ministry of National Defense (MND)
Republic of China Air Force (RoCAF) / Taiwanese Air Force,Taiwanese Ministry of National Defense (MND)
Republic of China Army (ROCA) / Taiwanese Army,Taiwanese Ministry of National Defense (MND)
Republic of China Navy (ROCN) / Taiwanese Navy,Taiwanese Ministry of National Defense (MND)
Thailand,Asia
Royal Thai Air Force,Thailand
Royal Thai Army,Thailand
Royal Thai Navy,Thailand
Thailand Ministry of Defence,Thailand
Defense Technology Institute (DTI),Thailand Ministry of Defence
Tibet,Asia
Timor-Leste,Asia
Vietnam,Asia
Ministry of Defense,Vietnam
People's Army of Vietnam,Ministry of Defense
Vietnam Border Defense Force,People's Army of Vietnam
Vietnam Coast Guard,People's Army of Vietnam
Vietnam People's Air Force,People's Army of Vietnam
Vietnam People's Ground Force,People's Army of Vietnam
Vietnam People's Navy,People's Army of Vietnam
Viettel Military Industry and Telecoms Group,Ministry of Defense
Eurasia,Countries / Customers
Armenia,Eurasia
Ministry of Defense of Armenia,Armenia
Armed Forces of Armenia,Ministry of Defense of Armenia
Armenian Air Force,Armed Forces of Armenia
Armenian Army,Armed Forces of Armenia
Azerbaijan,Eurasia
Azerbaijan Ministry of Defense,Azerbaijan
Azerbaijani Armed Forces,Azerbaijan Ministry of Defense
Azerbaijani Air Force,Azerbaijani Armed Forces
Azerbaijani Land Forces,Azerbaijani Armed Forces
Belarus,Eurasia
Belarus Companies,Belarus
Defense Ministry of Belarus,Belarus
Armed Forces of Belarus,Defense Ministry of Belarus
Belarusian Air Force,Armed Forces of Belarus
Belarusian Ground Forces,Armed Forces of Belarus
Belarusian Special Forces,Armed Forces of Belarus
Belarusian State Committee for Military Industry (GKVP),Defense Ministry of Belarus
State Authority for Military Industries (SAMI),Belarus
Georgia,Eurasia
Kazakhstan,Eurasia
Kazakh Ministry of Defence,Kazakhstan
Kazakh Armed Forces,Kazakh Ministry of Defence
Kazakh Air Defense Forces,Kazakh Armed Forces
Kazakh Ground Forces,Kazakh Armed Forces
Ministry of Industry and Infrastructural Development,Kazakhstan
Kyrgyzstan,Eurasia
Moldova,Eurasia
Russia,Eurasia
Federal Security Service of the Russian Federation (FSB),Russia
Russian FSB Border Guard,Federal Security Service of the Russian Federation (FSB)
Military-Industrial Commission (VPK),Russia
VPK-Ural,Military-Industrial Commission (VPK)
Ministry of Defense (MoD),Russia
Advanced Research Foundation,Ministry of Defense (MoD)
Federal Service of Military Technical Cooperation (FSMTC),Ministry of Defense (MoD)
Russian Armed Forces,Ministry of Defense (MoD)
Russian Aerospace Forces (VKS),Russian Armed Forces
Aerospace Defense Forces / Missile Defense Forces,Russian Aerospace Forces (VKS)
Russian Airborne Forces (VDV),Russian Armed Forces
Russian Ground Forces,Russian Armed Forces
Russian Navy,Russian Armed Forces
Russian Strategic Missile Forces,Russian Armed Forces
Ministry of Foreign Affairs,Russia
Ministry of Industry and Trade,Russia
Industrial Development Fund,Ministry of Industry and Trade
Russia Companies,Russia
Security Council of Russia,Russia
National Guard of Russia,Security Council of Russia
Tajikistan,Eurasia
Turkmenistan,Eurasia
Ukraine,Eurasia
Ministry of Defence,Ukraine
Armed Forces of Ukraine,Ministry of Defence
Ukrainian Air Force,Armed Forces of Ukraine
Ukrainian Ground Forces,Armed Forces of Ukraine
Ukrainian Navy,Armed Forces of Ukraine
Uzbekistan,Eurasia
Uzbekistan Ministry of Defense (MoD),Uzbekistan
Armed Forces of the Republic of Uzbekistan,Uzbekistan Ministry of Defense (MoD)
Uzbekistan Air and Air Defence Forces,Armed Forces of the Republic of Uzbekistan
Europe,Countries / Customers
Albania,Europe
Austria,Europe
Ministry of Defense,Austria
Austrian Armed Forces,Ministry of Defense
Austrian Air Force,Austrian Armed Forces
Austrian Army,Austrian Armed Forces
Belgium,Europe
Belgian Ministry of Defence,Belgium
Belgian Armed Forces,Belgian Ministry of Defence
Air Component,Belgian Armed Forces
Land Component,Belgian Armed Forces
Special Forces Group (SFG),Land Component
Medical Component,Belgian Armed Forces
Naval Component,Belgian Armed Forces
Capacite Motorisee Terrestre (CaMo),Belgian Ministry of Defence
Bosnia,Europe
Bulgaria,Europe
Bulgarian Ministry of Defence (MoD),Bulgaria
Bulgarian Air Force,Bulgarian Ministry of Defence (MoD)
Bulgarian Land Forces,Bulgarian Ministry of Defence (MoD)
Bulgarian Navy,Bulgarian Ministry of Defence (MoD)
Croatia,Europe
Ministry of Defense,Croatia
Republic of Croatia Armed Forces (OSRH),Ministry of Defense
Croatian Air Force and Air Defence,Republic of Croatia Armed Forces (OSRH)
Croatian Army,Republic of Croatia Armed Forces (OSRH)
Croatian Navy,Republic of Croatia Armed Forces (OSRH)
Czech Republic,Europe
Czech Ministry of Defense,Czech Republic
Czech Republic Air Force,Czech Ministry of Defense
Czech Republic Army,Czech Ministry of Defense
Center for Simulation and Training Technologies (CSTT),Czech Republic Army
Denmark,Europe
Ministry of Defense (MoD),Denmark
Danish Defence Command,Ministry of Defense (MoD)
Royal Danish Air Force,Danish Defence Command
Royal Danish Army,Danish Defence Command
Royal Danish Navy,Danish Defence Command
Defence Acquisition and Logistics Organization (DALO),Ministry of Defense (MoD)
Estonia,Europe
Estonia Ministry of Defence (MoD),Estonia
Centre for Defence Investment (RKIIK),Estonia Ministry of Defence (MoD)
Ministry of Foreign Affairs,Estonia
European Aviation Safety Agency (EASA),Europe
European Organisation for the Safety of Air Navigation (Eurocontrol),Europe
European Space Agency (ESA),Europe
European Union (EU),Europe
European Border and Coast Guard Agency / Frontex,European Union (EU)
European Commission,European Union (EU)
European Defence Agency (EDA),European Union (EU)
Preparatory Action on Defence Research (PADR),European Defence Agency (EDA)
European External Action Service,European Union (EU)
European Global Navigation Satellite Systems Agency (European GNSS),European Union (EU)
European Parliament,European Union (EU)
Subcommittee on Security and Defence (SEDE),European Parliament
European Union Aviation Safety Agency (EASA),European Union (EU)
Permanent Structured Cooperation (PESCO),European Union (EU)
Finland,Europe
Finnish Border Guard,Finland
Finnish Ministry of Defence,Finland
Finnish Air Force,Finnish Ministry of Defence
Finnish Army,Finnish Ministry of Defence
Finnish Navy,Finnish Ministry of Defence
Ministry of Employment and the Economy,Finland
France,Europe
French Parliament,France
Ministry of the Armed Forces,France
French Armed Forces,Ministry of the Armed Forces
Direction G�n�rale de l Armement / Directorate General of Armaments (DGA),French Armed Forces
Capacite Motorisee Terrestre (CaMo),Direction G�n�rale de l Armement / Directorate General of Armaments (DGA)
French Air and Space Force,French Armed Forces
French Air Force,French Armed Forces
French Army,French Armed Forces
French Navy,French Armed Forces
Germany,Europe
Federal Ministry of Defence (BMVg),Germany
German Armed Forces / Bundeswehr,Federal Ministry of Defence (BMVg)
German Air Force / Luftwaffe,German Armed Forces / Bundeswehr
German Army / Heer,German Armed Forces / Bundeswehr
German Navy / Marine,German Armed Forces / Bundeswehr
Federal Ministry of the Interior,Germany
Federal Police / Bundespolizei,Federal Ministry of the Interior
Federal Parliament (Bundestag),Germany
Greece,Europe
Hellenic Air Force,Greece
Hellenic Navy,Greece
Ministry of National Defense,Greece
General Directorate for Defence Investments and Armaments (GDDIA),Ministry of National Defense
Hungary,Europe
Ministry of Defence (MoD),Hungary
Defence Procurement Agency (DPA),Ministry of Defence (MoD)
Hungarian Armed Forces,Ministry of Defence (MoD)
Hungarian Air Force,Hungarian Armed Forces
Hungarian Army,Hungarian Armed Forces
Hungarian Ground Force,Hungarian Armed Forces
Iceland,Europe
Icelandic Coast Guard,Iceland
Ireland,Europe
Irish Air Corps,Ireland
Israel,Europe
Ministry of Defense (MoD),Israel
Directorate of the Defense Research and Development (DDR&D),Ministry of Defense (MoD)
Flight Technologies Department,Directorate of the Defense Research and Development (DDR&D)
Israel Missile Defense Organization (IMDO),Directorate of the Defense Research and Development (DDR&D)
International Defense Cooperation Directorate (SIBAT),Ministry of Defense (MoD)
Israel Space and Satellite Administration,Ministry of Defense (MoD)
Israeli Defense Forces (IDF),Ministry of Defense (MoD)
Israeli Air Force (IAF),Israeli Defense Forces (IDF)
Israeli Army,Israeli Defense Forces (IDF)
Israeli Navy,Israeli Defense Forces (IDF)
"Ministry of Science, Technology and Space",Israel
Israel Space Agency,"Ministry of Science, Technology and Space"
Palestinian Territories,Israel
Italy,Europe
Italian Air Force,Italy
Directorate for Air Armaments and Airworthiness (DAAA),Italian Air Force
Italian Army,Italy
Italian Navy,Italy
Italian Space Agency,Italy
Ital-GovSatCom,Italian Space Agency
Ministry of Defence (MoD),Italy
Kosovo,Europe
Latvia,Europe
Latvia Ministry of Defense (MoD),Latvia
Lithuania,Europe
Ministry of National Defence,Lithuania
Lithuanian Armed Forces,Ministry of National Defence
Lithuanian Air Force,Lithuanian Armed Forces
Lithuanian Land Force,Lithuanian Armed Forces
Lithuanian Navy,Lithuanian Armed Forces
Luxembourg,Europe
Directorate of Defence,Luxembourg
Luxembourg Air Force,Directorate of Defence
Luxembourg Army,Directorate of Defence
Montenegro,Europe
Montenegrin Ministry of Defense,Montenegro
Montenegrin Air Force,Montenegrin Ministry of Defense
Netherlands,Europe
Defence Materiel Organisation,Netherlands
Dutch Ministry of Defence,Netherlands
Royal Netherlands Air Force Command,Dutch Ministry of Defence
Royal Netherlands Army Command,Dutch Ministry of Defence
Royal Netherlands Navy Command,Dutch Ministry of Defence
Technical University of Delft,Netherlands
North Atlantic Treaty Organization (NATO),Europe
Eurofighter Consortium/NATO Eurofighter and Tornado Management Agency (NETMA),North Atlantic Treaty Organization (NATO)
NATO Alliance Ground Surveillance Force (NAGSF),North Atlantic Treaty Organization (NATO)
NAGSF Mission Operation Support Centre,NATO Alliance Ground Surveillance Force (NAGSF)
NATO Allied Air Command,North Atlantic Treaty Organization (NATO)
NATO Communications and Information Agency,North Atlantic Treaty Organization (NATO)
NATO Navigation and Identification Program,NATO Communications and Information Agency
Radar Electromagnetic and Communication Coverage Tool (REACT),NATO Navigation and Identification Program
NATO Helicopter Management Agency (NAHEMA),North Atlantic Treaty Organization (NATO)
NATO Joint Warfare Center (JWC),North Atlantic Treaty Organization (NATO)
NATO Support and Procurement Agency (NSPA),North Atlantic Treaty Organization (NATO)
North Macedonia,Europe
Norway,Europe
Norwegian Ministry of Defence,Norway
Norwegian Armed Forces,Norwegian Ministry of Defence
Norwegian Army,Norwegian Armed Forces
Norwegian Defence Logistics Organisation (NDLO),Norwegian Armed Forces
Royal Norwegian Air Force,Norwegian Armed Forces
Royal Norwegian Navy,Norwegian Armed Forces
Norwegian Defence Materiel Agency (NDMA),Norwegian Ministry of Defence
Norwegian Defence Research Establishment (FFI),Norwegian Ministry of Defence
Norwegian Ministry of Education and Research,Norway
Research Council of Norway,Norwegian Ministry of Education and Research
Organisation for Joint Armament Co-operation (OCCAR),Europe
Poland,Europe
Ministry of Defence,Poland
Armament Inspectorate,Ministry of Defence
Military Institute of Armament Technology (WITU),Ministry of Defence
Polish Air Force,Poland
Polish Border Guard,Poland
Polish Land Forces,Poland
Polish Navy,Poland
Polish Police,Poland
Portugal,Europe
Ministry of Finance,Portugal
Portuguese Ministry of National Defence (MND),Portugal
Portuguese Air Force,Portuguese Ministry of National Defence (MND)
Portuguese Army,Portuguese Ministry of National Defence (MND)
Portuguese Navy,Portuguese Ministry of National Defence (MND)
Republic of Cyprus,Europe
Cypriot Armed Forces,Republic of Cyprus
Romania,Europe
Ministry of National Defence,Romania
Romanian Air Force,Ministry of National Defence
Romanian Army,Ministry of National Defence
Romanian Navy,Ministry of National Defence
Serbia,Europe
Ministry of Defense (MoD),Serbia
Material Resources Sector,Ministry of Defense (MoD)
Serbian Armed Forces,Ministry of Defense (MoD)
Serbian Air Force and Air Defence,Serbian Armed Forces
Serbian Army,Serbian Armed Forces
Serbian Military Technical Institute,Serbia
Slovakia,Europe
Slovak Air Force,Slovakia
Slovenia,Europe
Slovenian Armed Forces,Slovenia
Spain,Europe
Spanish Ministry of Defense,Spain
Spanish Armed Forces,Spanish Ministry of Defense
Spanish Air Force,Spanish Armed Forces
Spanish Army,Spanish Armed Forces
Logistics Support Command,Spanish Army
Light Vehicle for Special Operations (VLOE),Logistics Support Command
Spanish Marines,Spanish Armed Forces
Spanish Navy,Spanish Armed Forces
Sweden,Europe
Ministry of Defense [Sweden],Sweden
Swedish Air Force,Ministry of Defense [Sweden]
Swedish Army,Ministry of Defense [Sweden]
Swedish Defence Commission,Ministry of Defense [Sweden]
Swedish Defence Materiel Administration (FMV),Ministry of Defense [Sweden]
Swedish Royal Navy,Ministry of Defense [Sweden]
Swedish Amphibious Corps,Swedish Royal Navy
Switzerland,Europe
"Federal Department of Defence, Civil Protection and Sport (DDPS)",Switzerland
Federal Office for Defence Procurement / Armasuisse,"Federal Department of Defence, Civil Protection and Sport (DDPS)"
Swiss Armed Forces,"Federal Department of Defence, Civil Protection and Sport (DDPS)"
Armed Force Command Support Organization,Swiss Armed Forces
Armed Force Logistics Organization,Swiss Armed Forces
Swiss Air Force,Swiss Armed Forces
Swiss Land Forces,Swiss Armed Forces
Turkey,Europe
Defence Industry Executive Committee (SSIK),Turkey
Ministry of National Defense (MND),Turkey
Presidency of Defense Industries (SSB) / Undersecretariat for Defence Industries (SSM),Ministry of National Defense (MND)
Turkish Armed Forces (TSK),Ministry of National Defense (MND)
Turkish Air Force,Turkish Armed Forces (TSK)
Turkish Ground Forces,Turkish Armed Forces (TSK)
Turkish Naval Forces,Turkish Armed Forces (TSK)
Scientific and Technological Research Council of Turkey (TUBITAK),Turkey
Turkish Armed Forces Foundation (TSKGV),Turkey
United Kingdom (UK),Europe
Cranfield University,United Kingdom (UK)
Digital Aviation Research and Technology Centre (DARTeC),Cranfield University
"Department for Business, Energy and Industrial Strategy",United Kingdom (UK)
Department for Transport,United Kingdom (UK)
Maritime Coastguard Agency (MCA),Department for Transport
Department of Business,United Kingdom (UK)
Ministry of Defence (MoD),United Kingdom (UK)
British Army,Ministry of Defence (MoD)
British Army Armoured Trials and Development Unit,British Army
Defence and Security Accelerator (DASA),Ministry of Defence (MoD)
Defence Digital Organization,Ministry of Defence (MoD)
Defence Operational Training Capability- Air (DOTCA),Ministry of Defence (MoD)
Typhoon Future Synthetic Training (TFST),Defence Operational Training Capability- Air (DOTCA)
Defence Science and Technology Laboratory (Dstl),Ministry of Defence (MoD)
Defense Equipment and Support (DE&S),Ministry of Defence (MoD)
Land Systems Reference Centre (LSRC),Ministry of Defence (MoD)
Royal Air Force (RAF),Ministry of Defence (MoD)
Defense Operational Training Capability (Air) (DOTC(A)) program,Royal Air Force (RAF)
Rapid Capabilities Office (RCO),Royal Air Force (RAF)
Royal Navy (RN),Ministry of Defence (MoD)
Royal Fleet Auxiliary,Royal Navy (RN)
Royal Marines (RM),Royal Navy (RN)
Strategic Studies Centre (RNSSC),Royal Navy (RN)
UK Strategic Command,Ministry of Defence (MoD)
National Audit Office (NAO),United Kingdom (UK)
Science and Technology Facilities Council (STFC),United Kingdom (UK)
Rutherford Appleton Laboratory (RAL),Science and Technology Facilities Council (STFC)
UK Maritime Coastguard Agency (MCA),United Kingdom (UK)
Public Accounts Committee,UK Parliament
UK Space Agency,United Kingdom (UK)
UKSpace,United Kingdom (UK)
Latin America and the Caribbean,Countries / Customers
Antigua,Latin America and the Caribbean
Argentina,Latin America and the Caribbean
Argentine Air Force,Argentina
Argentine Navy,Argentina
National Commission for Space Activities (CONAE),Argentina
Barbuda,Latin America and the Caribbean
Bolivia,Latin America and the Caribbean
Ministry of Defence,Bolivia
Brazil,Latin America and the Caribbean
Brazilian Air Force,Brazil
Brazilian Army,Brazil
Brazilian Navy,Brazil
Chile,Latin America and the Caribbean
Chilean Air Force,Chile
Chilean Navy,Chile
Colombia,Latin America and the Caribbean
Colombian Air Force,Colombia
Colombian Navy,Colombia
Costa Rica,Latin America and the Caribbean
Dominica,Latin America and the Caribbean
Dominican Republic,Latin America and the Caribbean
Ecuador,Latin America and the Caribbean
Ecuadorian Air Force,Ecuador
Ecuadorian Navy,Ecuador
El Salvador,Latin America and the Caribbean
Ministry of National Defense,El Salvador
Armed Forces of El Salvador,Ministry of National Defense
Salvadoran Air Force,Armed Forces of El Salvador
Guatemala,Latin America and the Caribbean
Guyana,Latin America and the Caribbean
Honduras,Latin America and the Caribbean
Jamaica,Latin America and the Caribbean
Ministry of National Security,Jamaica
Jamaica Constabulary Force (JCF),Ministry of National Security
Jamaica Defence Force (JDF),Ministry of National Security
Mexico,Latin America and the Caribbean
Mexican National Guard,Mexico
Ministry of National Defense (SEDENA),Mexico
Armed Forces of Mexico,Ministry of National Defense (SEDENA)
Mexican Air Force,Armed Forces of Mexico
Mexican Army,Armed Forces of Mexico
Mexican Navy,Armed Forces of Mexico
Technology Research and Development Institute (INIDETAM),Mexican Navy
Tzinacan,Technology Research and Development Institute (INIDETAM)
Nicaragua,Latin America and the Caribbean
Panama,Latin America and the Caribbean
Paraguay,Latin America and the Caribbean
Armed Forces of Paraguay,Paraguay
Peru,Latin America and the Caribbean
Ministry of Defense (MoD),Peru
National Commission on Aerospace Research and Development (CONIDA),Ministry of Defense (MoD)
Peruvian Air Force,Ministry of Defense (MoD)
The Bahamas,Latin America and the Caribbean
Ministry of National Security,The Bahamas
Royal Bahamas Defence Force (RBDF),Ministry of National Security
Trinidad & Tobago [GORTT],Latin America and the Caribbean
Uruguay,Latin America and the Caribbean
Venezuela,Latin America and the Caribbean
Venezuelan Air Force,Venezuela
Middle East (ME),Countries / Customers
Afghanistan,Middle East (ME)
Afghan Air Force,Afghanistan
Bahrain,Middle East (ME)
Ministry of Defense,Bahrain
Bahrain Defense Force,Ministry of Defense
Royal Bahraini Air Force,Bahrain Defense Force
Gulf Cooperation Council (GCC),Middle East (ME)
Iran,Middle East (ME)
Armed Forces of the Islamic Republic of Iran,Iran
Islamic Republic of Iran Army / Artesh,Armed Forces of the Islamic Republic of Iran
Islamic Republic of Iran Air Force (IRIAF),Islamic Republic of Iran Army / Artesh
Islamic Republic of Iran Army Ground Forces,Islamic Republic of Iran Army / Artesh
Research and Self-Sufficiency Jihad Organization,Islamic Republic of Iran Army Ground Forces
Islamic Republic of Iran Navy (IRIN),Islamic Republic of Iran Army / Artesh
Khatam al-Anbia Air Defense Base / Air Defense Force,Islamic Republic of Iran Army / Artesh
Navy of Islamic Republic of Iran Army (NEDAJA),Islamic Republic of Iran Army / Artesh
Islamic Revolutionary Guard Corps (IRGC),Armed Forces of the Islamic Republic of Iran
Aerospace Force of the Army of the Guardians of the Islamic Revolution (AFAGIR),Islamic Revolutionary Guard Corps (IRGC)
League of Revolutionaries,Islamic Revolutionary Guard Corps (IRGC)
Quds Force,Islamic Revolutionary Guard Corps (IRGC)
Passive Defense Organization (PDO),Armed Forces of the Islamic Republic of Iran
Iran Companies,Iran
Ministry of Defence and Armed Forces Logistics,Iran
Ministry of Foreign Affairs,Iran
Ministry of Information and Communications Technology,Iran
Iran Space Agency,Ministry of Information and Communications Technology
Iranian Space Research Center,Iran Space Agency
Popular Mobilization Forces (PMF),Iran
Iraq,Middle East (ME)
Military Industries Authority,Iraq
Ministry of Defence (MoD),Iraq
Iraqi Air Force,Ministry of Defence (MoD)
Popular Mobilization Forces (PMF),Iraq
Jordan,Middle East (ME)
Ministry of Defence (MoD),Jordan
Jordan Armed Forces (JAF),Ministry of Defence (MoD)
Royal Jordanian Air Force,Jordan Armed Forces (JAF)
Royal Jordanian Army,Jordan Armed Forces (JAF)
Kuwait,Middle East (ME)
Kuwait Air Force,Kuwait
Lebanon,Middle East (ME)
Ministry of National Defence,Lebanon
Lebanese Air Force,Ministry of National Defence
Lebanese Armed Forces,Ministry of National Defence
Oman,Middle East (ME)
Ministry of Defense,Oman
Sultan's Armed Forces (SAF),Ministry of Defense
Royal Air Force of Oman,Sultan's Armed Forces (SAF)
Royal Army of Oman,Sultan's Armed Forces (SAF)
Royal Navy of Oman,Sultan's Armed Forces (SAF)
Sultan's Special Forces,Sultan's Armed Forces (SAF)
Ministry of Finance,Oman
Pakistan,Middle East (ME)
Ministry of Defense (MoD),Pakistan
Armed Forces Development Program (AFDP),Ministry of Defense (MoD)
Inter-Services Intelligence (ISI) Directorate,Ministry of Defense (MoD)
Pakistan Armed Forces,Ministry of Defense (MoD)
Pakistan Air Force,Pakistan Armed Forces
Pakistan Army,Pakistan Armed Forces
Pakistan Navy,Pakistan Armed Forces
"Ministry of Finance, Revenue & Economic Affairs",Pakistan
Ministry of Industries and Production,Pakistan
Qatar,Middle East (ME)
"Ministry of Administrative Development, Labor, and Social Affairs",Qatar
Ministry of Defence (MoD),Qatar
Qatar Emiri Air Force,Ministry of Defence (MoD)
Qatar Emiri Land Force,Ministry of Defence (MoD)
Qatar Emiri Navy,Ministry of Defence (MoD)
Saudi Arabia (KSA),Middle East (ME)
General Authority for Military Industries (GAMI),Saudi Arabia (KSA)
King Abdulaziz City for Science and Technology (KACST),Saudi Arabia (KSA)
Ministry of Defense,Saudi Arabia (KSA)
Royal Saudi Air Defense Forces (RSADF),Ministry of Defense
Royal Saudi Air Forces (RSAF),Ministry of Defense
Royal Saudi Land Forces (RSLF),Ministry of Defense
Royal Saudi Naval Forces (RSNF),Ministry of Defense
Royal Saudi Strategic Missiles Force (RSSMF),Ministry of Defense
Ministry of Foreign Affairs (MOFA),Saudi Arabia (KSA)
Ministry of Industry and Mineral Resources,Saudi Arabia (KSA)
Ministry of Interior,Saudi Arabia (KSA)
General Directorate of Border Guard,Ministry of Interior
Paramilitary Forces,Ministry of Interior
Ministry of the National Guard,Saudi Arabia (KSA)
Saudi Arabian National Guard Forces (SANG) / White Army,Ministry of the National Guard
Royal Commission of Jubail and Yanbu,Saudi Arabia (KSA)
Saudi Arabian Military Industries (SAMI),Saudi Arabia (KSA)
Saudi Arabian Royal Guard,Saudi Arabia (KSA)
Syria,Middle East (ME)
Syrian Arab Army,Syria
United Arab Emirates (UAE),Middle East (ME)
Advanced Technologies Research Council (ATRC),United Arab Emirates (UAE)
Committee for Goods and Materials Subject to Import and Export Control,United Arab Emirates (UAE)
Ministry of Defense,United Arab Emirates (UAE)
UAE Air Force,Ministry of Defense
UAE Land Force,Ministry of Defense
UAE Navy,Ministry of Defense
Tawazun Economic Council (TEC),United Arab Emirates (UAE)
UAE Space Agency,United Arab Emirates (UAE)
Yemen,Middle East (ME)
North America,Countries / Customers
Canada,North America
Canadian Space Agency (CSA),Canada
Department of Industry,Canada
Canadian Commercial Corporation,Department of Industry
Canadian Space Agency,Department of Industry
Department of National Defense,Canada
Canadian Armed Forces,Department of National Defense
Canadian Army,Canadian Armed Forces
Royal Canadian Air Force (RCAF),Canadian Armed Forces
Royal Canadian Navy (RCN),Canadian Armed Forces
Canadian Forces Health Services,Department of National Defense
Innovation for Defense Excellence and Security (IDEaS),Department of National Defense
Mobilizing Insights in Defense and Security (MINDS),Department of National Defense
United States (U.S.),North America
Central Intelligence Agency (CIA),United States (U.S.)
Department of Commerce,United States (U.S.)
Bureau of Industry and Security,Department of Commerce
Defense Contract Management Agency (DCMA),Department of Commerce
Defense Contract Management Agency Commercial Item Group (DCMA CIG),Defense Contract Management Agency (DCMA)
National Institute of Standards and Technology (NIST),Department of Commerce
National Oceanic and Atmospheric Administration (NOAA),Department of Commerce
National Telecommunications and Information Administration (NTIA),Department of Commerce
Department of Defense (DoD),United States (U.S.)
Chairman of the Joint Chiefs of Staff (CJCS),Department of Defense (DoD)
J8,Chairman of the Joint Chiefs of Staff (CJCS)
Joint Integrated Air and Missile Defense Organization (JIAMDO),J8
National Guard Bureau (NGB),Chairman of the Joint Chiefs of Staff (CJCS)
U.S. Air National Guard (ANG),National Guard Bureau (NGB)
U.S. Army National Guard,National Guard Bureau (NGB)
Vice Chairman of the Joint Chiefs of Staff,Chairman of the Joint Chiefs of Staff (CJCS)
Chief Information Officer (CIO),Department of Defense (DoD)
Joint All-Domain Command and Control (JADC2) Cross Functional Team (CFT),Chief Information Officer (CIO)
Project Convergence,Joint All-Domain Command and Control (JADC2) Cross Functional Team (CFT)
Joint Artificial Intelligence Center (JAIC),Chief Information Officer (CIO)
Cyberspace National Mission Initiative (NMI),Joint Artificial Intelligence Center (JAIC)
Department of Defense AI Steering Committee,Joint Artificial Intelligence Center (JAIC)
Joint Logistics Mission Initiative,Joint Artificial Intelligence Center (JAIC)
Joint Warfighting Initiative,Joint Artificial Intelligence Center (JAIC)
Combatant Commands (COCOMs),Department of Defense (DoD)
Africa Command (AFRICOM),Combatant Commands (COCOMs)
Central Command (CENTCOM),Combatant Commands (COCOMs)
Cyber Command (CYBERCOM),Combatant Commands (COCOMs)
Joint Cyber Command and Control (JCC2),Cyber Command (CYBERCOM)
Joint Cyber Warfighting Architecture,Cyber Command (CYBERCOM)
European Command (EUCOM),Combatant Commands (COCOMs)
Indo-Pacific Command (INDOPACOM),Combatant Commands (COCOMs)
Naval Surface Forces Pacific (NAVSURFPAC),Indo-Pacific Command (INDOPACOM)
Surface and Mine Warfighting Development Center (SMWDC),Naval Surface Forces Pacific (NAVSURFPAC)
Surface Development Squadron 1 (SURFDEVRON-1),Naval Surface Forces Pacific (NAVSURFPAC)
Northern Command (NORTHCOM),Combatant Commands (COCOMs)
North American Aerospace Defense Command (NORAD),Northern Command (NORTHCOM)
U.S. Fleet Forces Command (USFF),Northern Command (NORTHCOM)
Southern Command (SOUTHCOM),Combatant Commands (COCOMs)
Space Command (SPACECOM),Combatant Commands (COCOMs)
Combined Force Space Component Command (CFSCC),Space Command (SPACECOM)
Joint Task Force Space Defense (JTF-SD),Space Command (SPACECOM)
National Reconnaissance Office (NRO),Space Command (SPACECOM)
Advanced Systems and Technology (AS&T) Directorate,National Reconnaissance Office (NRO)
IMPACT program,Advanced Systems and Technology (AS&T) Directorate
Rapid Acquisition of a Small Rocket (RASR),National Reconnaissance Office (NRO)
Special Operations Command (SOCOM),Combatant Commands (COCOMs)
Armed Overwatch,Special Operations Command (SOCOM)
Hyper Enabled Operator (HEO),Special Operations Command (SOCOM)
Next Generation Armored Ground Mobility System (AGMS),Special Operations Command (SOCOM)
PEO SOF Digital Applications,Special Operations Command (SOCOM)
Mission Command,PEO SOF Digital Applications
"Program Executive Officer for Special Reconnaissance, Surveillance, and Exploitation (PEO-SRSE)",Special Operations Command (SOCOM)
Program Manager for Joint Threat Warning Systems (PM-JTWS),"Program Executive Officer for Special Reconnaissance, Surveillance, and Exploitation (PEO-SRSE)"
SOFWERX,Special Operations Command (SOCOM)
Strategic Command (STRATCOM),Combatant Commands (COCOMs)
Army Forces Strategic Command (ARSTART),Strategic Command (STRATCOM)
U.S. Army Space and Missile Defense Command (USASMDC),Army Forces Strategic Command (ARSTART)
Joint Electromagnetic Preparedness for Advanced Combat,Strategic Command (STRATCOM)
Joint Electronic Warfare Center,Strategic Command (STRATCOM)
Joint Force Space Component Command (JFSCC),Strategic Command (STRATCOM)
Combined Space Operations Center (CSpOC),Joint Force Space Component Command (JFSCC)
NC3 Enterprise Center (NEC),Strategic Command (STRATCOM)
